model,category,series,page,max_video_resolution,sensor_lens_fov,sensor_fov,horizontal_fov,image_sensor,lens,min_illumination_lux,max_fps,optical_zoom,pan_tilt,pan_tilt_zoom,rs485_rs422_ptz_control,sensitivity,detection_range,object_temperature_range,audio_builtin_mic,audio_support,builtin_mic,compute_capabilities,included_video_analytics,analytics,power,io_ports,operating_temperature,approvals,certifications,outdoor_ready,wdr_lightfinder,zipstream_codec_support,optimizedir_builtin_ir,secure_boot_signed_video_keystore,secure_boot_keystore,sustainability,highlighted_features,voice_announcements,onboard_audio_clips,max_sound_pressure_level,frequency_response,coverage_pattern,other
AXIS P3278-LV,Dome cameras,AXIS P32 Series,22,3840x2160 (8.3 MP),"1/1.8” 4.4-14.6 mm, F1.65-3.65 103°- 29°",,,,,0.11/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,0 °C to 50 °C (32 °F to 122 °F),IK10,,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 39% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
AXIS P3277-LVE,Dome cameras,AXIS P32 Series,22,2592x1944 (5 MP),"1/2.8” 3.0-8.5 mm, F1.38-2.58 104°- 34°",,,,,0.1/0.00,25/30,,,,,,,,√ / √*,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/IP67/NEMA 250 Type 4X/ NEMA TS 2 (2.2.7), IK10",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 43% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
AXIS P3277-LV,Dome cameras,AXIS P32 Series,22,2592x1944 (5 MP),"1/2.8” 3.0-8.5 mm, F1.38-2.58 104°- 34°",,,,,0.1/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,0 °C to 50 °C (32 °F to 122 °F),IK10,,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 39% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
AXIS P3275-LVE,Dome cameras,AXIS P32 Series,22,1920x1080 (2.1 MP),"10 mm: 1/2.8”, 3.4 - 9.8 mm F1.4 - 2.7, 100°- 32° 29 mm: 1/2.8”, 10.8 - 28.2 mm F1.70 - 1.76, 29.1°- 11°",,,,,0.08/0.00,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/IP67/NEMA 250 Type 4X/ NEMA TS 2 (2.2.7), IK10",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 43% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
AXIS P3275-LV,Dome cameras,AXIS P32 Series,22,1920x1080 (2.1 MP),"1/2.8” 3.4 - 9.8 mm, F1.4 - 2.7 100°- 32°",,,,,0.08/0.00,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,0 °C to 50 °C (32 °F to 122 °F),IK10,,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 39% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
AXIS P3275-V,Dome cameras,AXIS P32 Series,22,1920x1080 (2.1 MP),"1/2.8” 3.4 - 9.8 mm, F1.4 - 2.7 100°- 32°",,,,,0.08/0.02,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,0 °C to 50 °C (32 °F to 122 °F),IK10,,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,- / -,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 39% bio-plastics 2% carbon capture based plastic",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
AXIS P3268-SLVE,Dome cameras,AXIS P32 Series,22,3840x2160 (8.3 MP),"1/1.8” 4.3 - 8.6 mm, F1.5 100°- 53°",,,,,0.14/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"NSF/ANSI Standard 169, DNV IP66/NEMA 250 Type 4X/ NEMA TS 2 (2.2.7-2.2.9), IK10, IP6K9K",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / √,,"PVC free, BFR/CFR free",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
AXIS M3905-R,Dome cameras,AXIS P32 Series,22,1920x1080 (2.1 MP),"1/2.9”, 3.6 mm, F2.0, 88° 1/2.9”, 2.8 mm, F1.5, 107°",,,,,"0,07/0.00",25/30,,,,,,,,- / -,,,-,AXIS Guard Suite AXIS Video Motion Detection Active tampering alarm,,PoE Class 1,- / -,Normal: -30 °C to 55 °C (-22 °F to 131 °F) Maximum (intermittent): 70 °C (158 °F),"P66/IP67/NEMA 4X (Indoor only), IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,"PVC free, BFR/CFR free",-,,,,,,
AXIS M3216-LVE,Dome cameras,AXIS M32 Series,23,2688x1512 (4.1 MP),"1/2.7” 2.9 mm, F2.0 102°",,,,,0.16/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield Audio detection AXIS Scene Metadata,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/NEMA 250 Type 4X/NEMA TS 2 (2.2.7- 2.2.9), IK10",,,Forensic WDR/ Lightfinder,√ / √ / √ / -,√ / √,√ / √ / √,,"PVC free, BFR/CFR free",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
AXIS M3215-LVE,Dome cameras,AXIS M32 Series,23,1920x1080 (2.1 MP),"1/2.9” 3.1 mm, F2.0 101°",,,,,0.14/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield Audio detection AXIS Scene Metadata,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/NEMA 250 Type 4X/NEMA TS 2 (2.2.7- 2.2.9), IK10",,,Forensic WDR/ Lightfinder,√ / √ / √ / -,√ / √,√ / √ / √,,"PVC free, BFR/CFR free",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
AXIS M3138-LVE,Dome cameras,AXIS M32 Series,23,3840x2160 (8 MP),"1/1.8"" 3.7 mm, F2.0 126°",,,,,0.18/0.04,12.5/15,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Audio Analytics AXIS Scene Metadata AXIS Image health analytics,,PoE Class 3,- / -,-30 °C to 50 °C (-22 °F to 122 °F),"IP66/NEMA 250 Type 4X, IK08",,,WDR/Lightfinder 2.0,- / √ / √ / -,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free",Edge-to-edge technology Direct installation view via Bluetooth Power meter Dynamic power mode Low power mode,,,,,,
AXIS M3128-LVE (black and white),Dome cameras,AXIS M32 Series,23,3840x2160 (8.3 MP),"1/2.8"" 2.9 mm, F2.0 110°",,,,,0.22/0.00,12/15,,,,,,,,- / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,- / -,-30 °C to 50 °C (-22 °F to 122 °F),IP66/67/NEMA 250 Type 4X,,,WDR / -,√ / √ / √ / -,√ / √,√ / √ / √,,PVC free,Edge-to-edge technology Power meter Dynamic Power mode,,,,,,
AXIS M3126-LVE (black and white),Dome cameras,AXIS M32 Series,23,2688x1512 (4.1 MP),"1/2.7” 2.4 mm, F2.1 130°",,,,,0.19/0.00,25/30,,,,,,,,- / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,- / -,-30 °C to 50 °C (-22 °F to 122 °F),IP66/67/NEMA 250 Type 4X,,,WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / √,,PVC free,-,,,,,,
AXIS M3125-LVE (black and white),Dome cameras,AXIS M32 Series,23,1920x1080 (2.1 MP),"1/2.8” 2.9 mm, F2.0 110°",,,,,0.15/0.00,50/60,,,,,,,,- / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,- / -,-30 °C to 50 °C (-22 °F to 122 °F),IP66/67/NEMA 250 Type 4X,,,WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / √,,PVC free,-,,,,,,
AXIS M3098-V,Dome cameras,AXIS M32 Series,23,3840x2160 (8.2 MP),"1/1.8"" 3.76 mm, F2.0 124°",,,,,0.19/0.05,12/15,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Live Privacy Shield Active tampering alarm AXIS Scene Metadata,,PoE Class 3,- / -,0 °C to 45 °C (32 °F to 113 °F),IP 42/IK08,,,WDR/Lightfinder 2.0,√ / √ / √ / -,- / -,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free",Edge-to-edge technology Bluetooth***,,,,,,
AXIS M3098-LV,Dome cameras,AXIS M32 Series,23,3840x2160 (8.2 MP),"1/1.8"" 3.76 mm, F2.0 124°",,,,,0.19/0.05,12/15,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Audio Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,- / -,0 °C to 45 °C (32 °F to 113 °F),IK08,,,WDR/Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free",Edge-to-edge technology Bluetooth***,,,,,,
AXIS M3098-H,Dome cameras,AXIS M32 Series,23,3840x2160 (8.2 MP),"1/1.8"" 3.76 mm, F2.0 124°",,,,,0.19/0.05,12/15,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Audio Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,- / -,0 °C to 45 °C (32 °F to 113 °F),-,,,WDR/Lightfinder 2.0,√ / √ / √ / -,- / -,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free",Edge-to-edge technology Bluetooth***,,,,,,
AXIS M3088-V,Dome cameras,AXIS M32 Series,23,3840x2160 (8.3 MP),"1/2.8” 2.9 mm, F2.0 109°",,,,,0.25 / 0.05,12/15,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Scene Metadata Active tampering alarm AXIS Live Privacy Shield,,PoE Class 2,- / -,0 °C to 40 °C (32 °F to 104 °F),IK08,,,WDR / -,√ / √ / √ / -,- / -,√ / √ / √,,"PVC free, BFR/CFR free 57% recycled plastics",Edge-to-edge technology,,,,,,
AXIS M3086-V,Dome cameras,AXIS M32 Series,23,2688x1512 (4.1 MP),"1/2.7"" 2.4 mm, F2.1 130°",,,,,0.19/0.03,25/30,,,,,,,,√ / √*,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Scene Metadata Active tampering alarm AXIS Live Privacy Shield AXIS Audio Analytics**,,PoE Class 2,- / -,0 °C to 45 °C (32 °F to 113 °F),IK08,,,WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,"PVC free, BFR/CFR free 57% recycled plastics",Edge-to-edge technology,,,,,,
AXIS M3085-V,Dome cameras,AXIS M32 Series,23,1920x1080 (2.1 MP),"1/2.9"" 3.1 mm, F2.0 102°",,,,,0.18/0.03,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Scene Metadata Active tampering alarm AXIS Live Privacy Shield,,PoE Class 2,- / -,0 °C to 45 °C (32 °F to 113 °F),IK08,,,WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,"PVC free, BFR/CFR free 57% recycled plastics",Edge-to-edge technology,,,,,,
AXIS M4228-LVE,Dome cameras,AXIS M42 Series,24,3840x2160 (8.3 MP),"1/2.8"", 3.2-7.2 mm F1.6-2.7, 100°-38°",,,,,0.14/0.00,25/30,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata,,PoE Class 3,-,-30 °C to 50 °C (-22 °F to 122 °F),"IP66/NEMA 250 Type 4X, IK10",,,WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / √,,"PVC free, BFR/CFR free 43% recycled plastics",Edge-to-edge technology,,,,,,
AXIS M4227-LVE,Dome cameras,AXIS M42 Series,24,2592x1944 (5 MP),"1/2.7"", 3.2-7.2 mm F1.6-2.7, 98°-38°",,,,,0.13/0.00,25/30,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata,,PoE Class 3,-,-30 °C to 50 °C (-22 °F to 122 °F),"IP66/NEMA 250 Type 4X, IK10",,,WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / √,,"PVC free, BFR/CFR free 43% recycled plastics",Edge-to-edge technology,,,,,,
AXIS M4225-LVE,Dome cameras,AXIS M42 Series,24,1920x1080 (2.1 MP),"1/2.8"", 3.2-7.2 mm F1.6-2.7, 100°-38°",,,,,0.12/0.00,25/30,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata,,PoE Class 3,-,-30 °C to 50 °C (-22 °F to 122 °F),"IP66/NEMA 250 Type 4X, IK10",,,WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / √,,"PVC free, BFR/CFR free 43% recycled plastics",Edge-to-edge technology,,,,,,
AXIS M4218-LV,Dome cameras,AXIS M42 Series,24,3840x2160 (8.3 MP),"1/2.8"", 3.5-6.6 mm F1.7-2.6, 93°-47°",,,,,0.24/0.00,12.5/15,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Face Detector Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,-,0 °C to 45 °C (32 °F to 113 °F),IK08,,,WDR / -,√ / √ / √ / -,√ / √,√ / √ / √,,"PVC free, BFR/CFR free",HDMI Edge-to-edge technology,,,,,,
AXIS M4218-V,Dome cameras,AXIS M42 Series,24,3840x2160 (8.3 MP),"1/2.8"", 3.5-6.6 mm F1.7-2.6, 93°-47°",,,,,0.24/0.04,12.5/15,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Face Detector Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 2,-,0 °C to 45 °C (32 °F to 113 °F),IK08,,,WDR / -,√ / √ / √ / -,- / -,√ / √ / √,,"PVC free, BFR/CFR free",HDMI Edge-to-edge technology,,,,,,
AXIS M4216-LV,Dome cameras,AXIS M42 Series,24,2304x1728 (4 MP),"1/2.7"", 3-6 mm F1.9-2.7, 100°-45°",,,,,0.18/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Face Detector Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,-,0 °C to 45 °C (32 °F to 113 °F),IK08,,,WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / √,,"PVC free, BFR/CFR free 43% recycled plastics",HDMI Edge-to-edge technology,,,,,,
AXIS M4216-V,Dome cameras,AXIS M42 Series,24,2304x1728 (4 MP),"1/2.7"", 3-6 mm F1.9-2.7, 100°-45°",,,,,0.18/0.03,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Face Detector Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 2,-,0 °C to 45 °C (32 °F to 113 °F),IK08,,,WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,"PVC free, BFR/CFR free",HDMI Edge-to-edge technology,,,,,,
AXIS M4215-LV,Dome cameras,AXIS M42 Series,24,1920x1080 (2.1 MP),"1/2.8"", 3.5-6.6 mm F1.7-2.6, 93°-47°",,,,,0.14/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Face Detector Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,-,0 °C to 45 °C (32 °F to 113 °F),IK08,,,WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / √,,"PVC free, BFR/CFR free",HDMI Edge-to-edge technology,,,,,,
AXIS M4215-V,Dome cameras,AXIS M42 Series,24,1920x1080 (2.1 MP),"1/2.8"", 3.5-6.6 mm F1.7-2.6, 93°-47°",,,,,0.14/0.03,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Face Detector Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 2,-,0 °C to 45 °C (32 °F to 113 °F),IK08,,,WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,"PVC free, BFR/CFR free",HDMI Edge-to-edge technology,,,,,,
AXIS Q4809-PVE,Panoramic cameras,AXIS Q38 Series,25,10240x2560 (26 MP),"4x 1/2.3"", 5.05 mm F1.7, 180°",,,,,0.10/0.03,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 4,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 16% recycled plastics 14% bio-plastics 2.6% carbon capture-based plastics",Horizon Straightening Remote Pan/Tilt/Roll,,,,,,
AXIS Q3839-SPVE,Panoramic cameras,AXIS Q38 Series,25,7552x3776 (29 MP),"4x 1/1.8"", 4.6 mm F1.8, 180°",,,,,0.10/0.03,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 4,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"SF/ANSI Standard 169, IP66/NEMA 250 Type 4X IK10, IP66, IP67, IP68, IP6K9K",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 16% recycled plastics 14% bio-plastics 2.6% carbon capture-based plastics","Stainless Steel, Horizon Straightening Remote Pan/Tilt/Roll",,,,,,
AXIS Q3839-PVE,Panoramic cameras,AXIS Q38 Series,25,7552x3776 (29 MP),"4x 1/1.8"", 4.6 mm F1.8, 180°",,,,,0.10/0.03,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 4,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 16% recycled plastics 14% bio-plastics 2.6% carbon capture-based plastics",Horizon Straightening Remote Pan/Tilt/Roll,,,,,,
AXIS P4708-PLVE,Panoramic cameras,AXIS Q38 Series,25,2x 3840x2160 (2x 8 MP),"2x 1/2.8"", 3.3-8.1 mm F1.9-3.2, 108°-40°",,,,,0.19/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics on all channels AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 4,-,-30 °C to 50 °C (-22 °F to 122 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 7% recycled plastics 2% bio-plastics",1 IP address Remote zoom & focus Group view Individually controllable IR LEDs,,,,,,
AXIS P4707-PLVE,Panoramic cameras,AXIS Q38 Series,25,2x 2592x1944 (2x 5 MP),"2x 1/2.7”, 3.3 - 8.1 mm F1.9 - 3.2, 98°- 36°",,,,,0.19/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics on all channels AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 4,-,-30 °C to 50 °C (-22 °F to 122 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 7% recycled plastics 2% bio-plastics",1 IP address Remote zoom & focus Group view Individually controllable IR LEDs,,,,,,
AXIS P4705-PLVE,Panoramic cameras,AXIS Q38 Series,25,2x 1920x1080 (2x 2 MP),"2x 1/2.8"", 3.3 - 8.1 mm F1.9 - 3.2, 107°- 39°",,,,,0.15/0.00,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics on all channels AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 3 with limited IR range PoE Class 4 with full IR range,-,-30 °C to 50 °C (-22 °F to 122 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 7% recycled plastics 2% bio-plastics",1 IP address Remote zoom & focus Group view Individually controllable IR LEDs,,,,,,
AXIS P3827-PVE,Panoramic cameras,AXIS Q38 Series,25,3712x1856 (6.9 MP),"4x 1/2.8”, 3.3 mm F2.0, 180°",,,,,0.15/0.05,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm,,PoE Class 4,1/1,-40 °C to 55 °C (-40 °F to 131 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 15% recycled plastics",1 IP address Vertical FoV 90,,,,,,
AXIS P3818-PVE,Panoramic cameras,AXIS Q38 Series,25,5120x2560 (13.1 MP),"3x 1/2.8"", 3.2 mm F2.0, 180°",,,,,0.15/0.06,25/30,,,,,,,,√ / -,,,-,AXIS Guard Suite AXIS Video Motion Detection Active tampering alarm,,PoE Class 4,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / - / FIPS 140-2 Level 2,,PVC free 15% recycled plastics,1 IP address Vertical FoV 90,,,,,,
AXIS P3748-PLVE,Panoramic cameras,AXIS P37 Series,26,4x 3840x2160 (4x 4K),"4x 1/2.9"" 3.2 - 7.4 mm, F1.6 - 2.7 103° - 41°",,,,,0.4/0.00,12.5/15,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics on all channels AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 4,-,-40 °C to 50 °C (-40 °F to 122 °F),IP66/NEMA4X,,,Forensic WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free","1 IP address IK10, PTRZ Group view Individually controllable IR LEDs",,,,,,
AXIS P3747-PLVE,Panoramic cameras,AXIS P37 Series,26,4x 2592x1944 (4x 5 MP),"4x 1/2.8"" 3.2 - 7.4, F1.6 - 2.7 98-40",,,,,0.1/0.00,25/30*,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics on all channels AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 4,-,-40 °C to 50 °C (-40 °F to 122 °F),IP66/NEMA4X,,,Forensic WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free","1 IP address IK10, PTRZ Group view Individually controllable IR LEDs",,,,,,
AXIS P3738-PLE,Panoramic cameras,AXIS P37 Series,26,4x 3840x2160 (4x 8 MP),"4x 1/2.8"" 3.2 - 8.1 mm, F1.9 - 3.2 108° - 40°",,,,,0.19/0.00,12.5/15,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics on all channels AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 4,-,-30 °C to 50 °C (-22 °F to 122 °F),IP66/IP67/NEMA 4X,,,Forensic WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free","1 IP address IK09, Remote zoom & focus Group view Individually controllable IR LEDs",,,,,,
AXIS P3737-PLE,Panoramic cameras,AXIS P37 Series,26,4x 2592x1944 (4x 5 MP),"4x 1/2.7"" 3.2 - 8.1 mm, F1.9 - 3.2 99° - 37°",,,,,0.19/0.00,25/30*,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics on all channels AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 3 w/o IR PoE Class 4 w IR,-,-30 °C to 50 °C (-22 °F to 122 °F),IP66/IP67/NEMA 4X,,,Forensic WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free","1 IP address IK09, Remote zoom & focus Group view Individually controllable IR LEDs",,,,,,
AXIS P3735-PLE,Panoramic cameras,AXIS P37 Series,26,4x 1920x1080p (4x 2 MP),"4x 1/2.8"" 3.2 - 8.1 mm, F1.9 - 3.2 108° - 40°",,,,,0.14/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics on all channels AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 3 w/o IR PoE Class 4 w IR,-,-30 °C to 50 °C (-22 °F to 122 °F),IP66/IP67/NEMA 4X,,,Forensic WDR/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free","1 IP address IK09, Remote zoom & focus Group view Individually controllable IR LEDs",,,,,,
