model,category,series,page,max_video_resolution,sensor_lens_fov,sensor_fov,horizontal_fov,image_sensor,lens,min_illumination_lux,max_fps,optical_zoom,pan_tilt,pan_tilt_zoom,rs485_rs422_ptz_control,sensitivity,detection_range,object_temperature_range,audio_builtin_mic,audio_support,builtin_mic,compute_capabilities,included_video_analytics,analytics,power,io_ports,operating_temperature,approvals,certifications,outdoor_ready,wdr_lightfinder,zipstream_codec_support,optimizedir_builtin_ir,secure_boot_signed_video_keystore,secure_boot_keystore,sustainability,highlighted_features,voice_announcements,onboard_audio_clips,max_sound_pressure_level,frequency_response,coverage_pattern,other
AXIS Q1800-LE,Bullet cameras,AXIS Q18 Series,14,1920x1080 (2.1 MP),"1/2.8"" 7 - 137 mm, F1.5 - 4.0 38° - 2.3°",,,,,0.06/0.00,90,20x,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection Active tampering alarm,,"PoE Class 3 (no IR, no heaters) PoE Class 4, AC, DC PoE Class 6 (with PoE out)",2,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection Low power mode Dynamic power mode Traffic camera installation assistant Support for third-party LPR analytics,,,,,,
AXIS Q1800-LE-3,Bullet cameras,AXIS Q18 Series,14,1920x1080 (2.1 MP),"1/2.8"" 7 - 137 mm, F1.5 - 4.0 38° - 2.3°",,,,,0.06/0.00,90,20x,,,,,,,√ / -,,,Deep learning processing unit,AXIS License Plate Verifier Audio detection AXIS Video Motion Detection Active tampering alarm,,"PoE Class 3 (no IR, no heaters) PoE Class 4, AC, DC PoE Class 6 (with PoE out)",2,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection Low power mode Dynamic power mode Preinstalled ALPV Traffic camera installation assistant,,,,,,
AXIS P1488-LE,Bullet cameras,AXIS P14 Series,15,3840x2160 (8.3 MP),"1/1.2” 5.9 - 13.8 mm, F1.5 - 2.8 114°- 46°",,,,,0.06/0.00,50/60,2.35x,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata AXIS Live Privacy Shield,,"PoE Class 3, DC",1/1,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-2 Level 3,,"PVC free, BFR/CFR free",Electronic image stabilization Edge-to-edge technology Shock detection,,,,,,
AXIS P1487-LE,Bullet cameras,AXIS P14 Series,15,2592x1944 (5 MP),"1/2.8” 3 - 8.5 mm, F1.36 - 2.58 106° - 35°",,,,,0.09/0.00,25/30,2.86x,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata AXIS Live Privacy Shield,,"PoE Class 3, DC",1/1,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-2 Level 3,,"PVC free, BFR/CFR free",Electronic image stabilization Edge-to-edge technology Shock detection,,,,,,
AXIS P1486-LE,Bullet cameras,AXIS P14 Series,15,2048x1536 (3 MP),"1/1.8'' 10 - 40 mm, F1.3 - 1.4 42˚ - 11˚",,,,,0.02/0.00,3 MP 50/60 fps 720p 200 fps 1024x768 270fps,4x,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata AXIS Live Privacy Shield,,"PoE Class 3, DC",1/1,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-2 Level 3,,"PVC free, BFR/CFR free",Electronic image stabilization Global shutter image sensor Continuous and strobing IR illumination Sync out signal,,,,,,
AXIS P1486-LE Kit,Bullet cameras,AXIS P14 Series,15,2048x1536 (3 MP),"1/1.8'' 10 - 40 mm, F1.3 - 1.4 42˚ - 11˚",,,,,0.02/0.00,3 MP 50/60 fps 720p 200 fps 1024x768 270 fps,4x,,,,,,,√ / -,,,Deep learning processing unit,AXIS License Plate Verifier Audio detection AXIS Video Motion Detection AXIS Image Health Analytics,,"PoE Class 3, DC",1/1,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-2 Level 3,,"PVC free, BFR/CFR free",Electronic image stabilization Global shutter image sensor Continuous and strobing IR illumination Sync out signal Preinstalled ALPV Traffic camera installation assitant,,,,,,
AXIS P1485-LE,Bullet cameras,AXIS P14 Series,15,1920x1080 (2.1 MP),"1/2.8” 10.8 - 28.2 mm, F1.7 - 1.76 29.4° - 11°",,,,,0.06/0.00,50/60,2.61x,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata AXIS Live Privacy Shield,,"PoE Class 3, DC",1/1,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-2 Level 3,,"PVC free, BFR/CFR free",Electronic Image Stabilization Edge-to-edge technology Shock detection,,,,,,
AXIS P1485-LE Kit,Bullet cameras,AXIS P14 Series,15,1920x1080 (2.1 MP),"1/2.8” 10.8 - 28.2 mm, F1.7 - 1.76 29.4° - 11°",,,,,0.06/0.00,50/60,2.61x,,,,,,,√ / -,,,Deep learning processing unit,AXIS License Plate Verifier Audio detection AXIS Video Motion Detection AXIS Image Health Analytics,,"PoE Class 3, DC",1/1,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-2 Level 3,,"PVC free, BFR/CFR free",Electronic image stabilization Edge-to-edge technology Shock detection Preinstalled ALPV Traffic camera installation assitant,,,,,,
AXIS P1475-LE,Bullet cameras,AXIS P14 Series,15,1920x1080 (2.1 MP),"1/1.2"" 3.1 - 9 mm, F1.6 - 2.9 117˚ - 36˚",,,,,0.06/0.00,50/60,2.91,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata AXIS Live Privacy Shield,,PoE Class 3,1/1,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-2 Level 3,,"PVC free, BFR/CFR free",Electronic Image Stabilization Edge-to-edge technology Shock detection,,,,,,
AXIS M2048-LE,Bullet cameras,AXIS P14 Series,15,3840x2160 (8.3 MP),"1/1.8 3.7 mm, F2.0 126°",,,,,0.18/0.00,12.5/15,-,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics Active tampering alarm AXIS Scene Metadata,,PoE Class 3,- / -,-30 °C to 55 °C (-22 °F to 131 °F),"IP66/IP67/NEMA 4X, IK08",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / √,√ / √ / √,,"PVC free, BFR/CFR free",Edge-to-edge technology Direct installation view via Bluetoooth* Power meter,,,,,,
